web-scraper-order,web-scraper-start-url,product_name,price,product_sold
"1705482488-36","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Pendek Cotton Tie Dye 115509513","95.960","21 Terjual"
"1705482488-37","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Blouse Lengan 7/8 Baloon Texture Knit Wanita 117739771","98.945","22 Terjual"
"1705482488-38","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kaos Lengan Pendek Wanita Usa Basic 114629681","99.900","211 Terjual"
"1705482488-39","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kaos Lengan Pendek Wanita Dot Colorful 115962765","99.900","47 Terjual"
"1705482488-40","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Short Sleeve Blouse Linen Slub Plain 115355984","99.960","18 Terjual"
"1705482488-41","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Blouse Wanita Round Neck Tie Rayon Silk 115563044","99.960","31 Terjual"
"1705482488-42","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Long Sleeve Blouse Rayon Vega Kerang 115547446","99.960","28 Terjual"
"1705482488-43","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion 3/4 Blouse Vn Dropshoulder Livaeco Wanita 116108883","99.960","24 Terjual"
"1705482488-44","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Blouse Raglan Wanita 117787746","99.960","18 Terjual"
"1705482488-45","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Lengan Pendek Blouse Ryn Twill Wanita 115830559","99.960","96 Terjual"
"1705482488-46","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Blouse Bell Sleeve Airflow Tiny Button Wanita 116107017","99.960","28 Terjual"
